avg_salary_k,rating,size,job_location,age,python,visual_software,ML_software,spark,aws,excel,sql,sas,hadoop,degree,in_CA,senior_status
65.5,3.5,1001 - 5000 ,DC,14,0,0,0,1,1,1,1,0,0,MS,False,False
124.5,3.5,1001 - 5000 ,NC,4,1,0,0,1,0,1,0,0,0,MS,False,True
114.0,2.9,51 - 200 ,CA,23,1,1,0,1,0,0,1,0,0,MS,True,False
49.0,3.9,501 - 1000 ,PA,84,1,1,0,0,0,0,1,0,0,Other,False,False
71.0,3.7,501 - 1000 ,VA,32,0,1,0,0,0,1,1,0,0,Other,False,False
101.0,3.6,5001 - 10000 ,MA,170,0,0,0,0,0,0,0,0,0,Other,False,False
61.0,3.7,10000+ ,IL,93,1,0,0,1,0,0,1,0,1,MS,False,False
103.5,3.1,5001 - 10000 ,KY,146,0,0,0,0,0,0,0,0,0,Other,False,False
63.0,3.6,5001 - 10000 ,MA,170,0,0,0,0,0,1,0,0,0,MS,False,False
62.5,3.0,10000+ ,CT,40,0,0,0,0,0,1,0,0,0,Other,False,False
94.5,3.5,501 - 1000 ,CA,8,1,0,0,1,1,1,1,0,1,MS,True,False
154.5,3.5,1001 - 5000 ,MA,11,1,0,0,0,0,1,0,0,0,PHD,False,True
87.0,3.7,501 - 1000 ,KS,48,1,0,0,0,0,1,1,0,1,Other,False,False
64.5,3.2,501 - 1000 ,NY,18,1,0,0,0,1,1,1,0,0,Other,False,False
154.5,3.7,10000+ ,MA,240,0,0,0,1,1,1,1,0,1,MS,False,False
128.5,4.4,201 - 500 ,IL,13,1,1,0,0,1,1,1,0,1,Other,False,True
65.0,3.7,501 - 1000 ,CO,55,0,0,0,0,0,0,0,0,0,Other,False,False
137.0,3.9,10000+ ,NY,108,1,0,0,0,0,0,0,0,0,PHD,False,True
99.0,4.0,501 - 1000 ,CO,106,1,0,0,0,1,0,1,0,0,MS,False,False
139.5,4.4,1001 - 5000 ,MA,37,1,1,0,0,0,0,1,0,0,MS,False,True
109.0,3.4,201 - 500 ,MD,22,0,0,0,0,1,0,0,0,0,MS,False,False
254.0,3.3,10000+ ,IL,109,1,0,0,0,0,0,0,1,0,MS,False,False
73.0,2.9,201 - 500 ,CA,9,0,0,0,0,0,0,0,0,0,PHD,True,False
99.5,3.1,5001 - 10000 ,NC,146,0,0,0,0,0,1,0,0,0,Other,False,False
45.5,3.3,501 - 1000 ,OH,32,0,0,0,0,0,0,0,0,0,Other,False,False
122.5,4.5,51 - 200 ,IN,25,1,0,0,1,1,0,1,0,1,Other,False,True
140.0,3.9,5001 - 10000 ,IL,53,1,0,0,0,0,1,1,1,0,Other,False,True
77.5,3.2,5001 - 10000 ,VA,63,0,0,0,0,0,0,0,0,0,PHD,False,True
55.0,3.3,1 - 50 ,MA,45,0,0,0,0,0,1,0,0,0,Other,False,False
117.5,3.1,5001 - 10000 ,NC,146,0,0,0,0,0,1,0,0,0,MS,False,True
70.5,2.4,501 - 1000 ,CA,15,0,0,0,0,0,0,0,0,0,MS,True,False
61.5,4.8,51 - 200 ,CA,10,0,1,0,0,0,1,1,0,0,Other,True,False
70.0,2.9,1001 - 5000 ,NY,6,0,0,0,0,0,1,0,0,0,Other,False,False
80.0,2.9,1001 - 5000 ,GA,6,0,0,0,0,0,1,0,0,0,Other,False,True
90.0,3.4,1001 - 5000 ,MA,33,0,0,0,1,0,1,1,0,1,Other,False,False
73.5,2.6,501 - 1000 ,PA,37,0,0,0,0,0,1,0,0,0,PHD,False,False
129.5,3.6,5001 - 10000 ,MA,170,1,1,0,1,1,1,1,0,1,Other,False,False
167.5,4.0,10000+ ,NY,172,0,0,0,0,1,1,0,0,0,MS,False,True
60.0,3.8,1001 - 5000 ,WI,151,0,0,0,0,1,1,0,0,0,Other,False,False
180.0,3.9,51 - 200 ,CA,12,1,0,0,0,0,1,1,0,0,MS,True,True
65.0,3.8,1001 - 5000 ,NY,19,0,0,0,0,0,1,1,1,0,Other,False,False
112.5,4.3,5001 - 10000 ,NC,31,1,0,0,1,1,0,0,0,1,Other,False,True
87.5,1.9,201 - 500 ,NY,11,1,0,0,0,0,1,1,0,0,Other,False,True
51.5,3.3,10000+ ,IN,109,1,1,0,0,0,1,1,0,0,MS,False,False
51.0,4.7,51 - 200 ,CA,49,0,0,0,0,0,1,0,0,0,Other,True,False
62.5,3.1,10000+ ,MA,165,1,0,0,0,0,1,1,1,0,MS,False,False
100.0,3.4,501 - 1000 ,AZ,40,0,0,0,0,0,0,1,0,1,Other,False,True
85.0,4.4,51 - 200 ,VA,17,1,0,0,1,1,0,0,0,1,Other,False,False
